"","Method","Participant","Day","Metric","Trial","Value"
"1008","TRAD","P6","D1","Net Peak Vertical Force [N]","Trial 3",1545.94113905169
"1009","SHORT","P19","D2","Net Force at 100ms [N]","Trial 1",430.765803403035
"1010","SHORT","P22","D2","Net Force at 100ms [N]","Trial 2",451.920946763456
"1011","SHORT","P16","D2","Net Force at 100ms [N]","Trial 3",628.810336982785
"1012","SHORT","P26","D2","Net Force at 100ms [N]","Trial 4",526.332207205938
"1013","SHORT","P20","D2","Net Force at 100ms [N]","Trial 5",333.109279137105
"1014","SHORT","P18","D2","Net Peak Vertical Force [N]","Trial 1",1404.01912788567
"1015","SHORT","P25","D2","Net Peak Vertical Force [N]","Trial 2",1442.23290352835
"1016","SHORT","P30","D2","Net Peak Vertical Force [N]","Trial 3",1462.03678637492
"1017","SHORT","P11","D2","Net Peak Vertical Force [N]","Trial 4",1545.5530910166
"1018","SHORT","P26","D2","Net Peak Vertical Force [N]","Trial 5",1382.77094489113
"1019","TRAD","P2","D2","Net Force at 100ms [N]","Trial 1",518.350287954323
"1020","TRAD","P9","D2","Net Force at 100ms [N]","Trial 2",551.59156579664
"1021","TRAD","P10","D2","Net Force at 100ms [N]","Trial 3",589.931326375809
"1022","TRAD","P23","D2","Net Peak Vertical Force [N]","Trial 1",1394.61321056793
"1023","TRAD","P11","D2","Net Peak Vertical Force [N]","Trial 2",1472.33022077777
"1024","TRAD","P17","D2","Net Peak Vertical Force [N]","Trial 3",1460.02068101987
